date,Brightness,roomname,Humidity,SetpointHistory,Temperature
2017-05-17 07:30:00,18.31,Bathroom,56.0,16.0,18.9
2017-05-17 17:30:00,28.38,Bathroom,57.0,20.0,19.37
2017-05-17 21:30:00,0.0,Bathroom,58.0,16.0,19.37
2017-05-18 02:10:00,0.0,Bathroom,59.0,16.0,19.37
2017-05-18 06:10:00,5.49,Bathroom,59.0,20.0,19.37
2017-05-18 07:30:00,15.56,Bathroom,88.0,16.0,23.46
2017-05-18 17:30:00,55.85,Bathroom,61.0,20.0,20.16
2017-05-18 21:30:00,0.0,Bathroom,64.0,16.0,20.16
2017-05-19 01:30:00,0.0,Bathroom,74.0,16.0,20.31
2017-05-19 06:10:00,5.49,Bathroom,68.0,20.0,20.16
2017-05-19 07:30:00,40.28,Bathroom,67.0,16.0,20.31
2017-05-19 17:30:00,14.65,Bathroom,62.0,20.0,21.42
2017-05-19 21:30:00,67.75,Bathroom,63.0,16.0,20.79
2017-05-20 02:50:00,0.0,Bathroom,58.0,16.0,20.79
2017-05-20 10:00:00,131.84,Bathroom,56.0,20.0,20.63
2017-05-20 13:00:00,95.22,Bathroom,54.0,16.0,20.63
2017-05-20 17:00:00,62.26,Bathroom,54.0,20.0,20.63
2017-05-20 21:30:00,0.0,Bathroom,54.0,16.0,20.16
2017-05-20 23:20:00,37.08,Bathroom,55.5,16.0,20.39
2017-05-21 10:00:00,256.36,Bathroom,47.0,20.0,19.06
2017-05-21 12:50:00,305.795,Bathroom,47.0,20.0,19.53
2017-05-21 13:00:00,422.99,Bathroom,48.0,16.0,19.69
2017-05-21 17:00:00,133.67,Bathroom,48.0,20.0,20.16
2017-05-21 21:30:00,0.0,Bathroom,59.0,16.0,19.53
2017-05-22 00:50:00,0.0,Bathroom,56.0,16.0,19.53
2017-05-22 06:10:00,10.99,Bathroom,54.0,20.0,19.37
2017-05-22 07:30:00,42.12,Bathroom,54.0,16.0,19.37
2017-05-22 17:30:00,54.02,Bathroom,55.0,20.0,19.53
2017-05-22 21:30:00,70.5,Bathroom,56.0,16.0,19.53
2017-05-22 23:40:00,0.0,Bathroom,91.5,16.0,19.69
2017-05-23 06:10:00,9.16,Bathroom,60.0,20.0,19.37
2017-05-23 07:30:00,21.97,Bathroom,59.0,16.0,19.53
2017-05-23 17:30:00,47.61,Bathroom,58.0,20.0,19.84
2017-05-23 21:30:00,0.0,Bathroom,95.0,16.0,21.1
2017-05-24 01:50:00,0.0,Bathroom,68.0,16.0,20.0
2017-05-24 06:10:00,7.32,Bathroom,62.0,20.0,19.84
2017-05-24 07:30:00,58.6,Bathroom,57.0,16.0,20.0
2017-05-24 17:30:00,44.86,Bathroom,54.0,20.0,20.0
2017-05-24 21:30:00,0.0,Bathroom,58.0,16.0,20.0
2017-05-24 23:00:00,37.54,Bathroom,58.0,16.0,19.84
2017-05-25 06:10:00,10.07,Bathroom,57.0,20.0,19.53
2017-05-25 07:30:00,40.28,Bathroom,58.0,16.0,19.53
2017-05-25 17:30:00,38.45,Bathroom,58.0,20.0,19.84
2017-05-25 21:30:00,0.0,Bathroom,52.0,16.0,19.69
2017-05-26 06:10:00,13.73,Bathroom,54.0,20.0,19.37
2017-05-26 07:30:00,33.88,Bathroom,54.0,16.0,19.37
2017-05-26 17:30:00,54.93,Bathroom,55.0,20.0,20.0
2017-05-26 21:30:00,0.0,Bathroom,56.0,16.0,19.84
2017-05-27 00:50:00,0.0,Bathroom,56.0,16.0,19.84
2017-05-27 10:00:00,126.35,Bathroom,56.0,20.0,20.0
2017-05-27 13:00:00,312.2,Bathroom,76.0,16.0,20.79
2017-05-27 17:00:00,56.76,Bathroom,62.0,20.0,20.63
2017-05-27 21:30:00,0.0,Bathroom,64.0,16.0,20.47
2017-05-28 10:00:00,108.04,Bathroom,56.0,20.0,20.63
2017-05-28 13:00:00,411.08,Bathroom,52.0,16.0,21.57
2017-05-28 17:00:00,54.93,Bathroom,53.0,20.0,21.1
2017-05-28 21:30:00,0.0,Bathroom,55.0,16.0,20.94
2017-05-29 06:10:00,10.99,Bathroom,55.0,20.0,20.94
2017-05-29 07:30:00,51.27,Bathroom,55.0,16.0,20.94
2017-05-29 17:30:00,57.68,Bathroom,58.0,20.0,21.73
2017-05-29 21:30:00,0.0,Bathroom,63.0,16.0,22.68
2017-05-30 01:50:00,0.0,Bathroom,65.0,16.0,22.2
2017-05-30 06:10:00,0.92,Bathroom,62.0,20.0,22.2
2017-05-30 07:30:00,46.69,Bathroom,67.0,16.0,22.2
2017-05-30 17:30:00,63.17,Bathroom,60.0,20.0,22.68
2017-05-30 21:30:00,0.0,Bathroom,60.0,16.0,22.68
2017-05-30 23:20:00,0.0,Bathroom,67.0,16.0,22.52
2017-05-31 06:10:00,4.58,Bathroom,63.0,20.0,22.52
2017-05-31 07:30:00,40.28,Bathroom,63.0,16.0,22.68
2017-05-31 17:30:00,2.75,Bathroom,58.0,20.0,22.99
2017-05-31 21:30:00,0.0,Bathroom,56.0,16.0,22.83
2017-06-01 00:30:00,0.0,Bathroom,56.0,16.0,22.83
2017-06-01 06:10:00,0.92,Bathroom,55.0,20.0,22.52
2017-06-01 07:30:00,2.75,Bathroom,56.0,16.0,22.52
2017-06-01 17:30:00,4.58,Bathroom,49.0,20.0,23.31
2017-06-01 21:30:00,72.33,Bathroom,53.0,16.0,22.83
2017-06-01 23:50:00,0.0,Bathroom,62.0,16.0,22.83
2017-06-02 06:10:00,10.99,Bathroom,54.0,20.0,22.52
2017-06-02 07:30:00,26.55,Bathroom,53.0,16.0,22.52
2017-06-02 17:30:00,51.27,Bathroom,53.0,20.0,23.15
2017-06-02 21:30:00,0.0,Bathroom,54.0,16.0,22.99
2017-06-03 00:10:00,36.165,Bathroom,90.5,16.0,24.25
2017-06-03 10:00:00,129.09,Bathroom,56.0,20.0,22.83
2017-06-03 13:00:00,0.0,Bathroom,57.0,16.0,22.99
2017-06-03 17:00:00,0.0,Bathroom,58.0,20.0,22.99
2017-06-03 21:30:00,0.0,Bathroom,58.0,16.0,22.83
2017-06-04 02:00:00,0.0,Bathroom,61.0,16.0,22.83
2017-06-04 10:00:00,0.0,Bathroom,60.0,20.0,22.68
2017-06-04 13:00:00,0.0,Bathroom,60.0,16.0,22.52
2017-06-04 17:00:00,0.0,Bathroom,55.0,20.0,22.68
2017-06-04 21:30:00,0.0,Bathroom,54.0,16.0,22.52
2017-06-05 00:00:00,0.0,Bathroom,57.0,16.0,22.36
2017-06-05 06:10:00,0.0,Bathroom,55.0,20.0,22.2
2017-06-05 07:30:00,0.0,Bathroom,55.0,16.0,22.05
2017-06-05 17:30:00,22.89,Bathroom,62.0,20.0,21.73
2017-06-05 21:30:00,21.06,Bathroom,93.0,16.0,24.09
2017-03-09 13:20:00,134.59,Kitchen,50.0,16.0,17.8
2017-03-10 13:30:00,199.59,Kitchen,46.0,16.0,17.8
2017-03-11 13:30:00,347.91,Kitchen,43.0,21.0,17.48
2017-03-11 18:20:00,16.48,Kitchen,51.0,21.0,18.27
2017-03-12 13:30:00,324.11,Kitchen,43.0,21.0,17.01
2017-03-13 13:40:00,455.95,Kitchen,44.0,16.0,17.17
2017-03-14 13:40:00,292.06,Kitchen,44.0,16.0,17.17
2017-03-15 13:40:00,314.04,Kitchen,48.0,16.0,17.48
2017-03-16 13:50:00,447.705,Kitchen,45.0,16.0,17.64
2017-03-17 13:50:00,260.02,Kitchen,46.0,16.0,17.8
2017-03-18 14:00:00,119.02,Kitchen,47.0,16.0,17.64
2017-03-19 14:00:00,72.33,Kitchen,50.0,21.0,16.38
2017-03-20 14:00:00,231.18,Kitchen,49.0,16.0,17.32
2017-03-20 14:40:00,290.23,Kitchen,48.0,21.0,17.32
2017-03-22 14:10:00,129.09,Kitchen,47.0,16.0,17.64
2017-03-23 07:30:00,58.6,Kitchen,49.0,16.0,19.06
2017-03-23 14:10:00,261.39,Kitchen,49.0,16.0,18.11
2017-03-24 07:20:00,40.28,Kitchen,55.0,18.5,19.37
2017-03-24 07:30:00,52.19,Kitchen,53.0,16.0,19.21
2017-03-24 14:20:00,256.36,Kitchen,53.0,21.0,18.74
2017-03-24 21:30:00,0.0,Kitchen,51.0,18.5,19.21
2017-03-24 23:00:00,0.0,Kitchen,50.0,16.0,19.37
2017-03-25 12:50:00,596.94,Kitchen,38.0,21.0,17.32
2017-03-25 13:00:00,236.21,Kitchen,39.0,16.0,17.48
2017-03-25 14:50:00,460.52,Kitchen,40.0,21.0,17.8
2017-03-25 20:50:00,0.0,Kitchen,50.0,16.0,19.21
2017-03-26 01:40:00,0.0,Kitchen,48.0,16.0,17.8
2017-03-26 06:40:00,49.44,Kitchen,48.0,21.0,17.95
2017-03-27 22:20:00,0.0,Kitchen,45.0,16.0,19.21
2017-03-28 00:00:00,0.0,Kitchen,46.0,21.0,18.43
2017-03-28 01:10:00,0.0,Kitchen,46.0,16.0,18.27
2017-03-28 04:00:00,0.0,Kitchen,46.0,21.0,17.8
2017-03-28 07:30:00,30.21,Kitchen,45.0,16.0,18.74
2017-03-28 15:20:00,370.345,Kitchen,46.0,21.0,17.8
2017-03-28 19:00:00,52.19,Kitchen,49.0,16.0,19.21
2017-03-28 23:10:00,0.0,Kitchen,49.0,16.0,18.11
2017-03-29 20:40:00,0.0,Kitchen,54.0,21.0,18.58
2017-03-29 21:20:00,0.0,Kitchen,53.0,18.5,19.06
2017-03-29 21:30:00,0.0,Kitchen,52.0,16.0,19.21
